Redshift (z),Red filter (r)
0.5926196,19.10781
1.897976,22.20539
0.9878744,21.11416
1.260369,19.79167
1.784572,19.36268
1.84727,18.85533
1.116336,22.22663
2.16329,21.66051
0.8264827,20.66459
1.659886,20.56376
1.295796,22.5693
1.730322,20.97576
1.67392,18.37592
1.096189,19.95172
1.974124,20.48586
1.109697,19.44121
0.242797,22.01898
1.533397,19.65148
2.000177,21.07359
2.419048,22.07549
0.6547053,18.5436
1.60058,20.95173
2.103959,22.29403
1.228138,21.27084
1.086535,20.37225
3.15707,21.49281
1.760664,20.11886
3.127236,21.39622
1.140665,20.05801
1.600754,21.0737
1.692621,19.76411
1.260159,22.11427
1.423991,20.82421
1.420505,21.927
2.413342,20.50749
1.581939,21.439
1.622826,21.05179
1.573836,19.87573
1.602041,21.74774
2.165181,20.25212
1.587918,19.98999
0.5155473,20.57264
1.938672,21.07063
1.995767,21.26419
1.090276,20.72694
2.196309,19.6768
2.197186,21.39277
0.9977778,22.20699
2.298579,20.37792
0.8128884,21.39676
1.645128,21.4661
1.556793,19.76501
1.620148,22.29203
1.610478,21.48198
1.916162,21.33655
1.965388,21.18164
1.598466,20.74372
1.294696,21.62185
1.013165,21.77971
1.245258,21.89407
0.6219203,20.10835
1.440466,21.55825
2.178324,21.91187
2.105057,19.81353
1.654726,18.7214
2.033269,21.05611
1.801125,21.01436
1.074569,18.55868
2.022291,22.15866
0.8264514,20.01561
2.397156,21.60143
1.835746,20.74353
2.065265,22.03658
1.300309,19.56115
1.741077,21.13155
2.045708,20.20909
2.061528,19.51998
0.812808,21.17107
1.694044,22.2925
2.449519,21.25675
1.592296,20.92642
6.909146,21.7153
0.8063921,21.61355
1.930375,21.62119
1.380793,19.80826
1.87353,20.12633
1.218253,18.52525
1.984043,22.05907
1.436664,20.1217
0.2609713,18.86923
1.872516,20.16698
2.146502,22.02503
0.6924005,22.70943
1.084913,19.62719
2.532505,20.40187
0.5641633,21.04604
2.691841,21.8345
1.727222,21.48959
1.187632,22.00896
1.167572,19.84039
1.280662,20.19713
2.82203,19.9578
3.101616,21.68958
3.028709,20.88946
2.152911,19.7519
1.640714,22.11326
0.6786379,21.78209
1.838845,21.82723
1.929209,21.34779
1.51926,22.31198
2.128471,21.10647
1.929645,18.9771
1.964801,21.35601
1.927887,21.8488
1.143032,21.76701
1.833931,21.60375
1.096033,21.83222
1.442664,21.38021
1.304368,20.1251
0.900097,21.49807
1.35323,22.43978
1.570322,21.89902
2.02781,21.32065
2.013692,21.34844
3.030276,21.14849
0.626941,20.29916
0.9080401,21.60248
2.596125,20.23398
1.232315,20.73337
1.27237,21.90715
1.039291,21.67546
1.766147,20.75451
1.007132,21.60417
1.636739,21.94461
2.097599,21.74745
1.303265,21.38179
2.084009,21.94218
0.3727953,20.94185
2.085777,21.65282
1.996116,22.63217
1.729178,20.25198
0.9206662,22.04596
1.278599,21.01892
1.913084,21.31667
1.016527,22.28145
0.9446223,21.25341
1.11405,21.88387
0.4611872,22.08727
0.5645822,20.63624
1.867559,20.3485
1.847454,21.35897
0.9051676,20.97393
1.24599,21.94709
0.8079494,22.02476
2.069022,21.30143
1.627379,21.37353
0.8049501,21.5658
1.688017,22.22058
0.240645,21.51681
1.288397,21.76721
1.240193,21.4356
1.376152,21.97676
2.08002,21.93987
1.384772,21.66847
0.7620175,22.05508
1.68094,21.93678
1.649172,21.92537
1.394347,22.00307
0.6280025,21.82318
0.9357626,20.1279
2.207229,21.96997
1.095672,21.9605
1.054426,21.26281
1.700919,22.48252
1.157363,19.62067
2.276326,21.83388
2.073359,21.65456
1.189746,20.25025
1.915247,21.37498
0.8751578,20.52088
2.05781,20.86695
0.7948278,19.93126
0.7146124,20.66448
1.010743,22.72703
1.437922,22.3208
1.217762,21.37057
4.43508,21.08571
2.004102,20.32554
1.574527,21.97375
2.038316,22.50593
1.474437,20.13464
0.4126209,21.1109
0.6482149,20.04149
1.709946,22.1221
0.5973735,21.76161
1.565212,22.20604
1.583117,22.54945
1.484585,19.28523
1.606422,22.75053
1.842945,20.74754
0.8733941,21.5987
1.006933,22.11676
1.333004,22.42123
1.71153,22.20295
2.461764,22.09814
1.396625,20.84299
0.8464952,20.84902
0.7697997,21.04385
1.259928,21.96213
1.432279,22.66073
3.099192,21.69983
1.021902,22.22237
2.596003,21.20694
2.100643,22.82104
1.198052,22.22433
2.33106,20.29049
3.074003,21.42484
2.070932,21.91774
1.70023,21.52165
1.462345,22.44212
1.728711,22.22652
1.832964,21.79801
1.832517,19.39133
1.470593,21.2324
2.118936,21.07796
0.604959,21.80577
0.963929,20.59374
1.712273,21.11782
1.632794,22.27383
1.940918,22.19469
1.669128,21.44409
1.007947,22.45453
1.558194,22.5542
1.329786,21.20419
2.28893,18.95311
0.9940187,20.99758
2.060715,21.85613
1.244192,21.64622
0.6850703,21.41951
1.20406,21.4053
1.216651,20.48442
1.733735,21.26862
1.438885,22.02952
1.711927,22.20515
0.730554,22.69696
3.533301,23.12528
0.932711,22.04751
1.686645,22.20721
1.133629,21.32402
1.215435,20.73967
1.799975,21.5427
1.960958,20.36752
2.017426,21.34944
1.951196,21.32995
2.10951,22.03708
0.8214806,22.1613
0.8998517,20.96057
0.3830679,21.99848
1.341999,22.22043
1.359219,20.62421
0.8479066,21.1161
0.5471793,20.62681
1.729884,21.79509
1.19089,21.41815
0.6845443,22.19586
0.9775739,19.7252
1.155998,21.11702
0.487345,21.73247
0.5693619,21.66096
1.318639,21.7183
1.825264,19.79554
2.104497,22.21138
0.9829439,20.5557
1.872999,22.29419
