1015 z,1015 r,1015 A_v,1015 r-i,1015 i-z,2137 z,2137 r,2137 A_v,2137 r-i,2137 i-z,2958 z,2958 r,2958 A_v,2958 r-i,2958 i-z
,,,,,1.711147,18.38866,0.04157956,-1.11425,0.19343,1.511263,21.08416,0.04499167,0.05733,0.17001
,,,,,1.977942,18.86789,0.04047725,0.22426,0.70018,0.766902,20.97791,0.03815044,0.22992,-0.77023
,,,,,1.367047,18.99338,0.03820249,-0.10286,-0.28772,1.528757,20.28985,0.04497746,-0.41192,0.21499
,,,,,1.606115,19.21199,0.0400765,0.45768,0.02398,1.678421,20.97774,0.0467957,0.84835,0.15981
,,,,,1.180953,19.17189,0.03830723,0.78019,-0.03147,0.7119189,20.72547,0.04246082,-0.108,-0.08979
,,,,,0.8810262,18.78962,0.05670733,-0.00389,0.03715,0.5462613,21.5691,0.04521051,0.67519,0.04666
,,,,,1.363322,18.8495,0.03520158,1.18014,0.05532,1.377407,20.57708,0.04566881,-0.09051,0.02262
,,,,,0.2172794,18.86308,0.04808296,0.12391,-0.04008,2.17046,20.36166,0.04027813,-0.4922,0.20507
,,,,,0.2496374,17.89663,0.04064769,1.31612,0.13036,0.5639498,20.2723,0.0428242,-0.15946,0.24638
,,,,,0.9012323,23.59319,0.04057055,4.73643,-0.07893,1.897805,21.0842,0.04417057,0.41609,0.13987
,,,,,1.108558,18.8048,0.04720943,0.44938,-0.09639,1.194977,20.022,0.0471859,-0.128,0.00353
,,,,,1.513369,19.06928,0.03973322,0.0174,-0.09873,1.172806,20.18582,0.04368049,-0.60254,-0.36671
,,,,,,,,,,1.772444,20.77627,0.04294389,-0.1002,-0.38697
,,,,,,,,,,1.740297,21.13273,0.04030367,0.23898,0.07661
,,,,,,,,,,0.4195634,20.83168,0.03902479,0.24331,0.24985
,,,,,,,,,,1.031668,20.40087,0.03850435,-0.58808,0.02318
,,,,,,,,,,1.602763,21.15888,0.04443054,0.35824,0.29711
,,,,,,,,,,0.7425127,19.72947,0.04441237,-1.26187,0.05094
,,,,,,,,,,0.5772461,20.87249,0.04186872,0.62854,0.49983
,,,,,,,,,,1.063268,21.32677,0.0423367,0.45281,0.1044
,,,,,,,,,,1.008601,20.79284,0.04643702,-0.14679,0.06247
,,,,,,,,,,0.8089317,20.83639,0.03958263,0.22507,0.03163
,,,,,,,,,,0.6263728,21.07035,0.04075062,0.26785,0.19727
,,,,,,,,,,1.167785,21.08441,0.03682122,-0.57233,0.25514
,,,,,,,,,,2.101863,20.93488,0.03719027,-0.0349,0.04216
,,,,,,,,,,1.179272,20.58352,0.03562744,-0.2314,0.17419
,,,,,,,,,,0.8804491,19.72956,0.04454476,-0.99653,0.07749
,,,,,,,,,,1.248071,20.35967,0.04792,-0.41302,-0.00745
,,,,,,,,,,0.7785115,20.43173,0.05251772,-0.63958,-0.1702
,,,,,,,,,,1.076614,20.91308,0.04882661,0.12143,0.27458
,,,,,,,,,,0.5077316,20.54491,0.04833889,-0.43585,0.26089
,,,,,,,,,,1.541633,20.41129,0.04076916,0.23826,0.00078
,,,,,,,,,,1.573155,20.68785,0.03985452,-0.19544,0.4706
,,,,,,,,,,1.476781,21.04742,0.03356328,0.73263,0.08383
,,,,,,,,,,1.235395,20.49541,0.03877132,-0.36639,0.46832
,,,,,,,,,,0.483712,21.13957,0.04939879,0.6044,0.41584
,,,,,,,,,,0.5002047,21.11424,0.04994006,0.53112,-0.0786
,,,,,,,,,,0.8528438,21.13799,0.05354623,1.0466,0.16939
,,,,,,,,,,1.229585,20.25836,0.04892653,0.25965,0.11249
,,,,,,,,,,0.8703824,20.75501,0.03269532,-0.24369,0.65987
,,,,,,,,,,1.460012,20.68204,0.03116378,-0.01392,0.38579
,,,,,,,,,,0.7181167,20.44359,0.03092438,-0.23589,-0.27006
,,,,,,,,,,1.175324,21.07971,0.03162033,0.23473,0.63871
,,,,,,,,,,1.644765,21.12407,0.03632426,0.52073,-0.08536
,,,,,,,,,,1.697476,21.01152,0.03210867,0.64257,0.33575
,,,,,,,,,,1.076241,20.94328,0.0320173,0.52001,0.12881
,,,,,,,,,,1.09372,20.26022,0.03289551,-0.06278,-0.12942
,,,,,,,,,,3.175849,20.79007,0.03408333,0.21693,0.30703
,,,,,,,,,,1.2415,20.42839,0.0323677,-0.5238,0.04371
,,,,,,,,,,1.77435,20.64145,0.03366268,0.37566,0.20195
,,,,,,,,,,1.484802,20.95574,0.0313752,0.53606,0.0851
,,,,,,,,,,0.8132163,20.84137,0.03203335,-0.12078,0.30322
,,,,,,,,,,1.05411,20.30348,0.03766954,0.027,0.35851
,,,,,,,,,,1.269506,20.50485,0.0423835,-0.40087,-0.13914
,,,,,,,,,,1.088718,19.99481,0.04547005,-0.81576,-0.43862
,,,,,,,,,,1.428095,20.14934,0.03482641,-0.68479,-0.17751
,,,,,,,,,,1.300024,20.21466,0.03977403,-0.2042,-0.09255
,,,,,,,,,,0.6872155,20.69743,0.03893564,0.28865,-0.01829
,,,,,,,,,,1.838014,21.1682,0.03919302,0.2517,0.08476
,,,,,,,,,,1.464009,20.38176,0.04589421,-0.49016,0.04197
,,,,,,,,,,1.793064,20.84094,0.03788573,0.19969,0.06994
,,,,,,,,,,1.07706,21.06663,0.03790002,0.23733,-0.05937
,,,,,,,,,,1.538366,20.92283,0.02964339,0.53371,0.15153
,,,,,,,,,,1.388855,20.69309,0.03309858,0.15491,-0.12886
,,,,,,,,,,1.056022,20.21922,0.04799054,-0.77116,0.27835
,,,,,,,,,,0.878978,21.22938,0.04843492,0.3337,0.08912
,,,,,,,,,,1.592797,21.23554,0.03745296,0.24441,-0.03555
,,,,,,,,,,0.7986733,20.90721,0.05364409,0.65137,0.10722
,,,,,,,,,,1.384543,21.03182,0.04225387,0.38616,0.37691
,,,,,,,,,,1.301837,21.10352,0.04543414,0.25278,0.04338
,,,,,,,,,,1.475766,20.81912,0.04455739,-0.81713,0.46558
,,,,,,,,,,1.553802,20.46659,0.03482372,-0.67173,-0.53641
,,,,,,,,,,1.262388,20.77767,0.03589716,-0.17352,0.14521
,,,,,,,,,,1.800768,21.11987,0.03399091,0.97506,0.31515
,,,,,,,,,,1.643698,21.08271,0.0350948,1.05739,0.03366
,,,,,,,,,,1.546098,20.94851,0.03448443,0.28853,0.21044
,,,,,,,,,,1.604294,21.0951,0.04836008,0.75852,-0.02204
,,,,,,,,,,1.004256,20.81989,0.04896335,0.29299,0.30797
,,,,,,,,,,1.504087,21.11234,0.04636168,1.23492,0.25911
,,,,,,,,,,2.131818,20.62339,0.03398833,-0.25285,-0.00841
,,,,,,,,,,0.8194873,21.14044,0.04404849,0.30474,0.47012
,,,,,,,,,,0.4476112,21.15802,0.03132896,0.33986,-0.16052
,,,,,,,,,,1.338773,20.76212,0.0315186,0.23177,0.00634
,,,,,,,,,,1.64433,21.10837,0.02932088,0.7221,0.39013
,,,,,,,,,,6.302482,21.71014,0.03374562,0.82033,-0.00764
,,,,,,,,,,2.045186,21.03507,0.03173915,0.29986,0.15287
,,,,,,,,,,1.025571,20.97598,0.03501729,0.63587,0.13104
,,,,,,,,,,1.25633,20.18491,0.03577783,-0.37885,0.24062
,,,,,,,,,,0.8465625,20.81999,0.03036249,0.23638,-0.18162
,,,,,,,,,,0.7102464,21.60931,0.03176295,1.50676,-0.03535
,,,,,,,,,,0.5791984,21.33758,0.03111291,0.80145,-0.04949
,,,,,,,,,,1.195552,21.06955,0.02879705,0.62003,0.25439
,,,,,,,,,,1.547381,20.37898,0.02973694,-0.23906,0.09125
,,,,,,,,,,0.7261031,20.75682,0.03010625,-0.02223,-0.51479
,,,,,,,,,,0.5936427,20.71381,0.03429855,-0.00908,0.28348
,,,,,,,,,,1.922148,21.22382,0.03357815,0.30708,-0.17374
,,,,,,,,,,0.9607188,20.82527,0.03957506,0.06668,-0.09316
,,,,,,,,,,1.366579,20.55925,0.03466482,-0.04449,-0.21375
,,,,,,,,,,1.785791,20.51841,0.03424851,0.45106,0.26807
,,,,,,,,,,1.510507,20.54471,0.03239086,-0.2714,-0.08381
,,,,,,,,,,0.9190194,21.02735,0.02991996,0.81384,-0.21471
,,,,,,,,,,0.8487142,20.62429,0.02583179,-0.18272,-0.41074
,,,,,,,,,,1.430273,20.82956,0.03244706,0.76396,0.08287
,,,,,,,,,,2.102756,21.17387,0.03500152,0.65057,0.32918
,,,,,,,,,,1.477235,20.76814,0.0309648,0.39486,0.22014
,,,,,,,,,,1.794413,20.68093,0.03242362,0.01356,-0.02967
,,,,,,,,,,1.384547,20.49439,0.02864541,-0.6882,-0.24371
,,,,,,,,,,1.137416,20.3558,0.02928554,-0.40337,-0.02764
,,,,,,,,,,0.9539593,20.6322,0.03076925,-0.24595,0.27145
,,,,,,,,,,1.424668,21.28596,0.03279014,0.33536,0.20183
,,,,,,,,,,1.340466,20.33313,0.03809036,-0.24299,0.1192
,,,,,,,,,,0.9250144,20.35872,0.02577281,0.47289,0.13173
,,,,,,,,,,1.181786,20.89491,0.02734854,-0.06075,-0.09296
,,,,,,,,,,0.8707353,20.3859,0.03221922,0.01721,0.03719
,,,,,,,,,,1.423976,20.96504,0.02824448,0.52973,0.17562
,,,,,,,,,,1.340341,21.0091,0.02842681,0.16464,0.20245
,,,,,,,,,,1.653166,21.18591,0.0299451,0.28386,-0.05401
,,,,,,,,,,1.329128,20.75254,0.02657222,0.12992,0.3834
,,,,,,,,,,1.696807,20.79887,0.02703262,0.04217,0.14679
,,,,,,,,,,0.9312298,20.7917,0.02854513,0.18745,0.10833
,,,,,,,,,,0.9991885,21.13997,0.02782809,0.31039,0.22326
,,,,,,,,,,1.576853,20.88452,0.02598752,0.36543,0.15038
,,,,,,,,,,1.623977,21.34236,0.02731415,0.80065,-0.01534
,,,,,,,,,,1.901891,20.50076,0.03285925,-0.1628,0.33651
,,,,,,,,,,1.391406,20.48787,0.02810426,0.43121,0.15126
,,,,,,,,,,0.7458521,21.35934,0.03039703,0.12304,0.248
,,,,,,,,,,0.9516044,21.22629,0.02521649,0.28554,0.18658
,,,,,,,,,,1.213777,21.14988,0.02889332,0.63672,-0.15386
,,,,,,,,,,1.34973,20.35188,0.03071797,0.00173,-0.0524
,,,,,,,,,,0.8168299,21.04643,0.02875083,0.19613,0.07909
,,,,,,,,,,1.327924,20.97681,0.02744029,0.69073,0.33452
