r-i,i-z
-0.22692,0.16154
0.05938,0.23864
0.11659,0.48362
0.24816,-0.08139
1.33798,0.20343
0.43638,-0.01604
0.61439,0.39988
-0.51061,0.14113
1.3914,0.12407
0.56665,0.03931
0.67298,-0.18925
-0.03305,0.53413
-0.16746,0.23289
0.48732,0.28099
-0.55151,0.11455
-0.61067,0.28102
-0.07488,-0.1503
0.97944,0.1646
0.24382,0.11251
0.89323,0.09392
0.1747,0.02064
-0.24972,0.12776
-0.55901,-0.05414
0.16374,0.10294
0.88509,0.11207
0.19414,-0.07117
0.62736,0.11347
0.38557,-0.03375
0.31839,0.03711
-0.2628,0.26312
0.52023,0.06499
-0.23706,0.03114
0.64929,-0.03293
0.3559,-0.27155
0.66922,0.14442
0.46042,0.11459
-0.6609,0.28864
0.44826,0.15949
-0.3972,-0.40097
0.05733,0.17001
0.22992,-0.77023
-0.41192,0.21499
0.84835,0.15981
-0.108,-0.08979
0.67519,0.04666
-0.09051,0.02262
-0.4922,0.20507
-0.15946,0.24638
0.41609,0.13987
-0.128,0.00353
-0.60254,-0.36671
-0.1002,-0.38697
0.23898,0.07661
0.24331,0.24985
-0.58808,0.02318
0.35824,0.29711
-1.26187,0.05094
0.62854,0.49983
0.45281,0.1044
-0.14679,0.06247
0.22507,0.03163
0.26785,0.19727
-0.57233,0.25514
-0.0349,0.04216
-0.2314,0.17419
-0.99653,0.07749
-0.41302,-0.00745
-0.63958,-0.1702
0.12143,0.27458
-0.43585,0.26089
0.23826,0.00078
-0.19544,0.4706
0.73263,0.08383
-0.36639,0.46832
0.6044,0.41584
0.53112,-0.0786
1.0466,0.16939
0.25965,0.11249
-0.24369,0.65987
-0.01392,0.38579
-0.23589,-0.27006
0.23473,0.63871
0.52073,-0.08536
0.64257,0.33575
0.52001,0.12881
-0.06278,-0.12942
0.21693,0.30703
-0.5238,0.04371
0.37566,0.20195
0.53606,0.0851
-0.12078,0.30322
0.027,0.35851
-0.40087,-0.13914
-0.81576,-0.43862
-0.68479,-0.17751
-0.2042,-0.09255
0.28865,-0.01829
0.2517,0.08476
-0.49016,0.04197
0.19969,0.06994
0.23733,-0.05937
0.53371,0.15153
0.15491,-0.12886
-0.77116,0.27835
0.3337,0.08912
0.24441,-0.03555
0.65137,0.10722
0.38616,0.37691
0.25278,0.04338
-0.81713,0.46558
-0.67173,-0.53641
-0.17352,0.14521
0.97506,0.31515
1.05739,0.03366
0.28853,0.21044
0.75852,-0.02204
0.29299,0.30797
1.23492,0.25911
-0.25285,-0.00841
0.30474,0.47012
0.33986,-0.16052
0.23177,0.00634
0.7221,0.39013
0.82033,-0.00764
0.29986,0.15287
0.63587,0.13104
-0.37885,0.24062
0.23638,-0.18162
1.50676,-0.03535
0.80145,-0.04949
0.62003,0.25439
-0.23906,0.09125
-0.02223,-0.51479
-0.00908,0.28348
0.30708,-0.17374
0.06668,-0.09316
-0.04449,-0.21375
0.45106,0.26807
-0.2714,-0.08381
0.81384,-0.21471
-0.18272,-0.41074
0.76396,0.08287
0.65057,0.32918
0.39486,0.22014
0.01356,-0.02967
-0.6882,-0.24371
-0.40337,-0.02764
-0.24595,0.27145
0.33536,0.20183
-0.24299,0.1192
0.47289,0.13173
-0.06075,-0.09296
0.01721,0.03719
0.52973,0.17562
0.16464,0.20245
0.28386,-0.05401
0.12992,0.3834
0.04217,0.14679
0.18745,0.10833
0.31039,0.22326
0.36543,0.15038
0.80065,-0.01534
-0.1628,0.33651
0.43121,0.15126
0.12304,0.248
0.28554,0.18658
0.63672,-0.15386
0.00173,-0.0524
0.19613,0.07909
0.69073,0.33452
1.04559,0.53029
0.92511,0.27171
0.80609,0.13717
-0.51343,0.66521
0.31233,0.01525
-0.14291,0.54321
-0.533,0.15054
-0.623,0.22577
-0.03288,-0.13217
0.75217,-0.05955
-0.32435,0.17054
-0.21802,0.32621
0.38364,0.2022
0.28893,0.29483
0.1663,0.35655
0.00194,0.06833
-0.22761,0.14607
0.04255,0.03191
0.3407,0.36332
-0.58401,0.04112
-0.10162,0.5079
0.46715,-0.05625
0.32937,-0.10842
0.03784,0.1769
-0.21189,0.01544
-0.03887,0.20609
0.26813,0.01848
-0.00896,-0.18698
-0.88254,0.2701
0.00233,-0.08682
-0.39006,-0.20056
0.41224,-0.00534
0.01538,0.31696
0.30624,0.08381
0.1265,0.34677
0.78914,0.00566
0.47851,0.3998
0.2362,0.48358
0.49237,0.21671
0.06672,0.29656
0.90695,0.08989
-1.06867,-0.1261
0.04742,-0.16414
0.08488,0.18759
0.96801,-0.05488
0.57682,-0.21937
0.17639,0.60278
1.09573,0.19183
0.57535,0.19369
1.21721,0.09635
-0.29211,-0.06623
-0.43638,0.0635
-0.42329,0.41124
0.41249,-0.01758
0.87142,0.04491
0.37877,0.07073
-0.49005,-0.13037
0.56185,0.23663
-0.17509,-0.1632
-0.0493,0.68311
-0.11997,0.12238
0.05976,-0.29574
1.02704,0.10583
-0.13037,-0.11722
0.81425,0.16743
1.0087,-0.22762
1.08535,0.09154
-0.71902,-0.18185
-0.27893,0.00678
0.34975,0.32537
1.05945,-0.11713
0.09395,-0.02721
0.1273,0.11899
0.35443,0.34069
1.15316,0.11394
-0.36123,-0.0679
-0.03411,0.43435
0.11875,0.40592
0.3699,-0.03225
0.47394,0.10244
1.05041,0.25255
1.10943,0.13405
0.80043,-0.1741
0.94904,0.03655
0.80045,0.04059
0.168,0.29109
0.42503,0.16131
0.06523,-0.08304
0.36512,0.16763
1.19471,0.19958
0.16889,0.11687
0.20627,-0.15661
0.2953,0.45398
-0.41102,-0.07046
