Redshift (z),Red filter (r)
1.462949,19.14628
0.4387086,20.27595
0.345741,18.71561
1.272504,19.05536
1.608476,18.94062
0.6369215,18.5764
0.9886135,19.01772
1.704642,18.7378
1.619869,18.34658
1.002877,18.49244
0.3182105,18.50459
0.3506413,19.99201
0.5089473,18.8315
0.4297674,19.79051
0.4316837,19.00059
1.833228,18.34885
0.983479,18.22367
0.3856646,18.49581
0.9866456,18.09325
0.1996945,17.78355
0.6719133,19.03115
0.5933385,18.53411
2.043067,19.04655
1.355356,18.45364
0.8369542,19.00911
0.6266494,19.0797
6.215376,20.56671
0.06479261,16.27976
1.796457,18.69028
1.296608,17.7761
1.159881,18.82656
0.2184688,17.02985
1.661538,19.03775
1.924766,19.51622
0.9289584,17.74135
1.134556,18.86066
1.374981,18.97062
0.314947,18.8175
1.600844,18.31749
1.711147,18.38866
1.977942,18.86789
1.367047,18.99338
1.606115,19.21199
1.180953,19.17189
0.8810262,18.78962
1.363322,18.8495
0.2172794,18.86308
0.2496374,17.89663
0.9012323,23.59319
1.108558,18.8048
1.513369,19.06928
